impact electrofuels import (2035),impact electrofuels import (2040),impact electrofuels import (2045),impact electrofuels import (2050),geo_tension_biofuels_2035,geo_tension_biofuels_2040,geo_tension_biofuels_2045,geo_tension_biofuels_2050,impact electricity import (2035),impact electricity import (2040),impact electricity import (2045),impact electricity import (2050),nuclear SMR not available,Direct Air Capture Technology not available,CCS not available,geothermal energy not available,ammonia-fired CCGT not available, Ammonia Cracking Technology,availability of Photovoltaic Solar Power (2035),availability of Photovoltaic Solar Power (2040),availability of Photovoltaic Solar Power (2045),availability of Photovoltaic Solar Power (2050),availability of Onshore Wind Power (2035),availability of Onshore Wind Power (2040),availability of Onshore Wind Power (2045),availability of Onshore Wind Power (2050),availability of Offshore Wind Power (2035),availability of Offshore Wind Power (2040),availability of Offshore Wind Power (2045),availability of Offshore Wind Power (2050),energy demand (2035),energy demand (2040),energy demand (2045),energy demand (2050),Exchange Rate (2035),Exchange Rate (2040),Exchange Rate (2045),Exchange Rate (2050),resistance to LT heating renovation (2035),resistance to LT heating renovation (2040),resistance to LT heating renovation (2045),resistance to LT heating renovation (2050),resistance to mobility change (2035),resistance to mobility change (2040),resistance to mobility change (2045),resistance to mobility change (2050),nuclear power no longer available,Total Photovoltaic Solar Power,Total Onshore Wind Power,Total Offshore Wind Power,total energy demand,transition_cost,fail
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914136.5221685382,0.0
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,2.4,2.4,2.4,0.36,1186413.6345331762,0.0
0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.2,0.8,0.2,0.8,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.8,0.2,0.8,0.2,0.8,0.2,0.2,0.8,0.8,0.8,0.2,0.8,0.2,0.8,0.2,0.2,0.8,0.2,0.8,0.8,0.8,0.2,0.8,0.2,0.8,0.8,0.8,0.2,0.25,2.0,2.0,2.6,0.21,1070830.548642859,0.0
0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.8,0.2,0.8,0.2,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2,0.8,0.2,0.8,0.2,0.8,0.8,0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.8,0.8,0.2,0.8,0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.2,0.2,0.8,0.75,2.0,2.0,1.4,0.39,1122450.7120548885,0.0
0.4,0.4,0.6,0.0,1.0,1.0,0.0,0.6,0.0,1.0,0.4,0.6,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.4,1.0,1.0,0.6,0.6,1.0,0.0,1.0,0.4,0.0,0.0,0.6,1.0,0.4,1.0,0.4,0.6,0.0,1.0,0.4,0.0,0.6,0.6,0.4,1.0,1.0,0.0,0.6,0.75,3.0,2.6,1.0,0.42,1124918.6244691038,0.0
1.0,1.0,0.0,0.6,0.4,0.4,0.6,0.0,0.6,0.4,1.0,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.4,0.4,0.0,0.0,0.4,0.6,0.4,1.0,0.6,0.6,0.0,0.4,1.0,0.4,1.0,0.0,0.6,0.4,1.0,0.6,0.0,0.0,1.0,0.4,0.4,0.6,0.0,0.0,1.7999999999999998,1.4,2.2,0.42,1080601.408696822,0.0
0.6,0.0,0.4,0.4,0.0,0.6,1.0,1.0,0.4,0.0,0.0,0.4,0.3333333333333333,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0,0.6,0.6,0.0,1.0,0.4,0.6,0.4,0.0,0.6,1.0,0.4,0.4,0.6,0.6,0.6,0.0,0.4,0.4,0.0,0.6,1.0,1.0,0.4,0.0,0.0,0.0,1.0,1.0,1.0,2.2,1.4,2.4,0.26999999999999996,1141015.943079601,0.0
0.0,0.6,1.0,1.0,0.6,0.0,0.4,0.4,1.0,0.6,0.6,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.0,0.0,0.6,0.4,1.0,0.0,1.0,0.6,0.0,0.4,1.0,1.0,0.0,0.0,0.0,0.6,1.0,1.0,0.6,0.0,0.4,0.4,1.0,0.6,0.6,0.6,0.4,0.4,0.25,1.0,2.6,2.4,0.09,1013014.2904990652,0.0
0.2,0.2,0.2,0.8,0.6,0.2,0.0,1.0,0.2,0.0,0.8,0.8,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.8,1.0,0.2,0.0,0.2,0.4,0.4,0.8,0.4,0.2,0.6,0.4,0.8,0.2,0.2,0.2,0.8,0.0,0.2,0.0,1.0,0.6,0.8,0.8,0.2,0.6,0.6,0.75,2.0,1.0,2.0,0.24,0.0,1.0
0.8,0.8,0.8,0.2,0.0,0.8,0.6,0.4,0.8,0.6,0.2,0.2,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6,0.2,0.4,0.8,0.6,0.8,1.0,1.0,0.2,1.0,0.8,0.0,1.0,0.2,0.8,0.8,0.8,0.2,0.6,0.8,0.6,0.4,0.0,0.2,0.2,0.8,0.0,0.0,0.0,2.0,3.4,2.0,0.42,1081688.0370228651,0.0
